date,temperature,precipitation,wind_speed,weather_state
2024-04-30,13.6,0.6,8.2,cloudy
2024-05-01,15.6,0.0,8.4,cloudy
2024-05-02,16.5,0.0,9.2,cloudy
2024-05-03,15.1,0.0,7.5,cloudy
2024-05-04,13.7,1.1,4.1,cloudy
2024-05-05,11.5,19.0,8.5,rainy
2024-05-06,11.6,0.0,5.5,cloudy
2024-05-07,12.9,0.0,4.8,cloudy
2024-05-08,12.6,0.0,3.8,partly_cloudy
2024-05-09,11.5,0.0,4.3,cloudy
2024-05-10,11.0,0.0,5.7,cloudy
2024-05-11,13.3,0.0,4.6,cloudy
2024-05-12,14.6,0.0,7.4,cloudy
2024-05-13,16.4,0.0,9.3,cloudy
2024-05-14,17.4,0.0,9.5,cloudy
2024-05-15,17.9,0.0,10.0,cloudy
2024-05-16,17.6,0.0,10.8,cloudy
2024-05-17,17.6,0.0,8.6,cloudy
2024-05-18,17.6,0.0,5.8,cloudy
2024-05-19,17.5,0.0,6.0,cloudy
2024-05-20,18.7,0.0,5.3,cloudy
2024-05-21,17.4,0.0,9.4,cloudy
2024-05-22,15.8,8.0,7.8,rainy
2024-05-23,14.6,2.7,4.6,cloudy
2024-05-24,16.4,0.0,4.2,cloudy
2024-05-25,17.1,0.7,4.4,cloudy
2024-05-26,17.5,3.3,4.4,cloudy
2024-05-27,15.9,9.0,5.9,rainy
2024-05-28,14.0,4.9,4.9,cloudy
2024-05-29,14.7,21.2,9.3,rainy
2024-05-30,15.8,3.6,5.2,cloudy
2024-05-31,16.3,13.2,4.8,rainy
2024-06-01,17.9,0.3,7.9,cloudy
2024-06-02,14.4,0.0,11.1,cloudy
2024-06-03,14.0,0.1,8.0,cloudy
2024-06-04,15.2,15.6,6.5,rainy
2024-06-05,13.1,2.3,9.6,cloudy
2024-06-06,12.2,2.5,7.3,cloudy
2024-06-07,13.0,2.6,7.6,cloudy
2024-06-08,13.0,3.4,10.0,cloudy
2024-06-09,11.6,2.1,10.5,cloudy
2024-06-10,12.9,0.0,7.8,cloudy
2024-06-11,12.5,3.1,10.2,cloudy
2024-06-12,11.4,4.7,8.8,cloudy
2024-06-13,12.1,2.4,6.4,cloudy
2024-06-14,14.6,2.6,6.8,cloudy
2024-06-15,14.5,13.1,9.4,rainy
2024-06-16,14.6,2.0,8.3,cloudy
2024-06-17,15.3,0.0,6.2,cloudy
2024-06-18,14.6,0.2,5.3,cloudy
2024-06-19,13.7,0.0,8.1,cloudy
2024-06-20,13.4,0.0,3.8,partly_cloudy
2024-06-21,15.4,18.2,4.4,rainy
2024-06-22,14.9,0.0,6.6,cloudy
2024-06-23,16.1,0.0,5.5,cloudy
2024-06-24,16.2,0.0,4.3,cloudy
2024-06-25,19.6,0.0,3.6,partly_cloudy
2024-06-26,21.5,0.0,4.6,sunny
2024-06-27,21.8,1.6,5.1,cloudy
2024-06-28,18.3,0.0,7.9,cloudy
2024-06-29,17.4,0.0,5.2,cloudy
2024-06-30,17.0,0.0,7.1,cloudy
2024-07-01,15.1,1.5,6.8,cloudy
2024-07-02,14.5,2.7,9.3,cloudy
2024-07-03,14.1,10.2,7.3,rainy
2024-07-04,14.0,8.0,11.3,rainy
2024-07-05,15.1,1.9,10.4,cloudy
2024-07-06,15.5,7.0,10.7,rainy
2024-07-07,15.5,7.7,9.8,rainy
2024-07-08,15.7,0.4,5.7,cloudy
2024-07-09,17.6,0.1,6.8,cloudy
2024-07-10,18.8,0.2,7.0,cloudy
2024-07-11,17.2,0.0,5.5,cloudy
2024-07-12,16.7,15.3,5.3,rainy
2024-07-13,16.5,2.2,8.6,cloudy
2024-07-14,15.5,10.7,9.6,rainy
2024-07-15,16.0,1.1,7.0,cloudy
2024-07-16,17.4,10.5,6.5,rainy
