date,temperature,precipitation,wind_speed,weather_state
2015-01-01,6.15,1.5,46.1,cloudy
2015-01-02,7.1000000000000005,7.1,50.3,stormy
2015-01-03,5.5,4.4,49.3,cloudy
2015-01-04,4.95,0.0,30.0,cloudy
2015-01-05,5.5,0.0,29.1,cloudy
2015-01-06,3.95,0.1,24.5,cloudy
2015-01-07,5.050000000000001,0.7,38.0,cloudy
2015-01-08,5.7,5.0,40.3,cloudy
2015-01-09,7.0,5.6,57.5,stormy
2015-01-10,7.449999999999999,2.7,60.4,stormy
2015-01-11,4.95,1.6,53.3,stormy
2015-01-12,7.05,5.6,48.1,rainy
2015-01-13,6.1,9.5,37.1,rainy
2015-01-14,3.9499999999999997,2.2,33.5,cloudy
2015-01-15,5.4,10.8,47.6,rainy
2015-01-16,5.699999999999999,0.1,48.3,cloudy
2015-01-17,4.25,0.4,31.2,cloudy
2015-01-18,2.95,0.3,29.3,cloudy
2015-01-19,1.5999999999999999,0.3,9.2,partly_cloudy
2015-01-20,0.39999999999999997,0.0,9.7,partly_cloudy
2015-01-21,-0.3,0.1,15.2,cloudy
2015-01-22,-1.4000000000000001,0.0,9.5,partly_cloudy
2015-01-23,-1.4,0.0,27.0,cloudy
2015-01-24,1.25,6.8,32.2,rainy
2015-01-25,3.4499999999999997,0.0,21.7,cloudy
2015-01-26,4.5,5.2,30.3,rainy
2015-01-27,4.6,0.0,31.6,cloudy
2015-01-28,3.9000000000000004,7.9,46.5,rainy
2015-01-29,1.8,1.7,37.3,cloudy
2015-01-30,-1.2,0.8,18.2,cloudy
2015-01-31,-2.1999999999999997,0.0,11.3,partly_cloudy
2015-02-01,-0.19999999999999996,0.1,25.0,cloudy
2015-02-02,1.3,0.0,23.6,cloudy
2015-02-03,-0.6000000000000001,0.0,19.5,cloudy
2015-02-04,-2.0,0.0,20.5,cloudy
2015-02-05,-0.7000000000000001,0.0,16.2,cloudy
2015-02-06,-0.75,0.0,19.1,cloudy
2015-02-07,3.75,0.0,42.9,cloudy
2015-02-08,3.2,0.8,42.7,cloudy
2015-02-09,5.5,0.0,35.6,cloudy
2015-02-10,5.3,0.0,29.2,cloudy
2015-02-11,3.4000000000000004,0.0,14.8,partly_cloudy
2015-02-12,2.4000000000000004,0.0,14.1,partly_cloudy
2015-02-13,2.1,0.0,20.8,cloudy
2015-02-14,2.0,0.0,24.1,cloudy
2015-02-15,2.9,0.0,31.0,cloudy
2015-02-16,2.0500000000000003,0.0,25.3,cloudy
2015-02-17,1.85,0.0,19.7,cloudy
2015-02-18,4.45,0.0,32.1,cloudy
2015-02-19,3.55,0.0,34.3,cloudy
2015-02-20,2.9,7.7,34.5,rainy
2015-02-21,2.35,11.0,25.5,rainy
2015-02-22,3.5,0.4,37.8,cloudy
2015-02-23,3.4000000000000004,6.9,42.2,rainy
2015-02-24,4.2,3.2,37.0,cloudy
2015-02-25,3.6500000000000004,1.4,24.2,cloudy
2015-02-26,4.6,1.6,31.2,cloudy
2015-02-27,4.0,6.2,25.0,rainy
2015-02-28,3.3000000000000003,0.0,35.6,cloudy
2015-03-01,5.2,6.9,39.0,rainy
2015-03-02,4.15,4.5,38.9,cloudy
2015-03-03,3.25,3.7,31.7,cloudy
2015-03-04,3.55,1.4,34.6,cloudy
2015-03-05,4.45,0.0,23.8,cloudy
2015-03-06,5.6,0.0,24.6,cloudy
2015-03-07,6.6,0.0,32.6,cloudy
2015-03-08,7.4,0.0,28.8,cloudy
2015-03-09,5.8,0.0,26.3,cloudy
2015-03-10,6.2,2.3,27.1,cloudy
2015-03-11,5.1,0.0,25.6,cloudy
2015-03-12,4.6,0.0,20.4,cloudy
2015-03-13,2.85,0.0,28.9,cloudy
2015-03-14,4.05,0.0,24.8,cloudy
2015-03-15,4.85,0.0,28.9,cloudy
2015-03-16,7.4,0.0,33.6,cloudy
2015-03-17,8.100000000000001,0.0,23.4,cloudy
2015-03-18,8.1,0.0,13.5,partly_cloudy
2015-03-19,6.6,0.0,13.1,partly_cloudy
2015-03-20,4.0,0.4,23.9,cloudy
2015-03-21,3.85,11.3,32.4,rainy
2015-03-22,1.0499999999999998,0.0,16.9,cloudy
2015-03-23,3.7,0.0,26.4,cloudy
2015-03-24,4.95,1.0,16.3,cloudy
2015-03-25,4.75,6.9,26.8,rainy
2015-03-26,5.2,4.1,20.3,cloudy
2015-03-27,5.4,2.1,19.5,cloudy
2015-03-28,5.949999999999999,5.6,35.1,rainy
2015-03-29,6.699999999999999,16.1,32.9,rainy
2015-03-30,5.6,2.5,47.2,cloudy
2015-03-31,3.95,15.1,49.5,rainy
2015-04-01,4.2,2.0,44.2,cloudy
2015-04-02,3.8,1.2,38.1,cloudy
2015-04-03,4.1,0.0,26.8,cloudy
2015-04-04,4.65,0.1,17.0,cloudy
2015-04-05,3.4,0.0,20.1,cloudy
2015-04-06,6.35,0.0,11.8,partly_cloudy
2015-04-07,4.6,0.0,23.4,cloudy
2015-04-08,7.0,0.0,24.0,cloudy
2015-04-09,7.0,0.0,10.0,partly_cloudy
2015-04-10,8.7,0.0,16.4,cloudy
2015-04-11,9.75,2.2,36.8,cloudy
2015-04-12,8.05,6.1,44.9,rainy
2015-04-13,6.25,0.1,37.8,cloudy
2015-04-14,7.05,0.5,31.7,cloudy
2015-04-15,9.15,0.8,32.1,cloudy
