date,temperature,precipitation,wind_speed,weather_state
2015-01-01,-2.75,0.0,8.5,partly_cloudy
2015-01-02,-0.75,4.6,24.4,cloudy
2015-01-03,3.7,18.8,34.9,rainy
2015-01-04,2.95,6.2,25.2,rainy
2015-01-05,-0.3500000000000001,0.1,18.5,cloudy
2015-01-06,0.85,0.0,7.6,partly_cloudy
2015-01-07,-1.25,1.2,13.6,cloudy
2015-01-08,2.85,2.8,34.1,cloudy
2015-01-09,6.9,7.1,37.8,rainy
2015-01-10,10.6,5.3,41.3,rainy
2015-01-11,5.6,16.2,31.4,rainy
2015-01-12,4.15,0.1,28.8,cloudy
2015-01-13,5.05,0.0,10.8,partly_cloudy
2015-01-14,3.75,5.1,24.8,rainy
2015-01-15,3.6,0.0,9.9,partly_cloudy
2015-01-16,3.8500000000000005,0.0,11.5,partly_cloudy
2015-01-17,1.8,11.5,15.1,rainy
2015-01-18,1.4500000000000002,0.0,7.2,partly_cloudy
2015-01-19,1.15,0.0,7.1,partly_cloudy
2015-01-20,0.8999999999999999,0.0,6.4,partly_cloudy
2015-01-21,1.35,0.0,14.3,partly_cloudy
2015-01-22,1.2000000000000002,0.0,9.2,partly_cloudy
2015-01-23,0.8,1.7,10.8,cloudy
2015-01-24,0.25,0.2,12.3,partly_cloudy
2015-01-25,-0.30000000000000004,2.8,16.5,cloudy
2015-01-26,0.4999999999999999,4.3,13.8,cloudy
2015-01-27,0.0,11.7,21.3,rainy
2015-01-28,0.6000000000000001,0.0,15.5,cloudy
2015-01-29,2.25,3.8,20.1,cloudy
2015-01-30,-0.45000000000000007,1.8,26.7,cloudy
2015-01-31,-0.6499999999999999,1.2,22.0,cloudy
2015-02-01,-2.1,1.6,16.2,cloudy
2015-02-02,-0.85,3.9,22.9,cloudy
2015-02-03,-3.55,0.0,10.8,partly_cloudy
2015-02-04,-3.1999999999999997,0.0,9.4,partly_cloudy
2015-02-05,-4.05,0.0,24.8,cloudy
2015-02-06,-2.4000000000000004,0.0,27.6,cloudy
2015-02-07,-4.8999999999999995,0.0,17.3,cloudy
2015-02-08,-4.4,2.1,24.5,cloudy
2015-02-09,-2.8000000000000003,1.0,25.2,cloudy
2015-02-10,0.9999999999999999,0.0,16.2,cloudy
2015-02-11,0.4500000000000002,0.0,9.1,partly_cloudy
2015-02-12,0.7000000000000002,0.0,6.9,partly_cloudy
2015-02-13,0.2999999999999998,0.0,7.3,partly_cloudy
2015-02-14,0.8999999999999999,0.0,11.2,partly_cloudy
2015-02-15,0.6000000000000001,0.0,11.8,partly_cloudy
2015-02-16,1.2999999999999998,0.0,9.2,partly_cloudy
2015-02-17,-0.3500000000000001,0.0,7.8,partly_cloudy
2015-02-18,1.0499999999999998,0.0,8.2,partly_cloudy
2015-02-19,0.5999999999999996,0.0,7.2,partly_cloudy
2015-02-20,4.1000000000000005,0.0,9.2,partly_cloudy
2015-02-21,4.05,0.0,13.6,partly_cloudy
2015-02-22,1.6500000000000001,3.2,12.3,cloudy
2015-02-23,2.75,2.4,15.2,cloudy
2015-02-24,3.0,1.4,15.3,cloudy
2015-02-25,2.6500000000000004,0.2,9.7,partly_cloudy
2015-02-26,2.1500000000000004,0.0,8.2,partly_cloudy
2015-02-27,2.8000000000000003,2.5,12.2,cloudy
2015-02-28,2.0,2.3,13.8,cloudy
2015-03-01,1.9,3.1,13.3,cloudy
2015-03-02,4.45,12.8,23.8,rainy
2015-03-03,4.15,0.0,23.0,cloudy
2015-03-04,3.65,1.3,17.2,cloudy
2015-03-05,1.95,1.5,20.6,cloudy
2015-03-06,2.35,0.0,8.2,partly_cloudy
2015-03-07,4.4,0.0,9.4,partly_cloudy
2015-03-08,5.75,0.0,12.6,partly_cloudy
2015-03-09,5.8500000000000005,0.0,7.8,partly_cloudy
2015-03-10,6.8,0.0,10.4,partly_cloudy
2015-03-11,4.5,2.5,15.2,cloudy
2015-03-12,3.2,0.6,8.9,partly_cloudy
2015-03-13,3.15,0.0,14.6,partly_cloudy
2015-03-14,3.1999999999999997,0.0,10.2,partly_cloudy
2015-03-15,5.65,0.0,17.0,cloudy
2015-03-16,7.7,0.0,14.5,partly_cloudy
2015-03-17,10.1,0.0,15.5,cloudy
2015-03-18,8.55,0.0,8.8,partly_cloudy
2015-03-19,6.9,0.0,8.4,partly_cloudy
2015-03-20,6.75,0.0,8.3,partly_cloudy
2015-03-21,6.35,3.3,15.4,cloudy
2015-03-22,4.85,2.7,18.8,cloudy
2015-03-23,6.1499999999999995,0.0,8.7,partly_cloudy
2015-03-24,7.65,0.0,9.8,partly_cloudy
2015-03-25,8.95,0.0,15.3,cloudy
2015-03-26,6.699999999999999,0.8,18.0,cloudy
2015-03-27,6.65,3.7,21.7,cloudy
2015-03-28,6.8999999999999995,0.4,13.4,partly_cloudy
2015-03-29,9.15,5.2,33.4,rainy
2015-03-30,6.65,20.2,34.2,rainy
2015-03-31,9.0,5.7,49.3,rainy
2015-04-01,4.35,5.4,30.3,rainy
2015-04-02,2.8000000000000003,9.5,35.4,rainy
2015-04-03,3.95,0.0,14.7,partly_cloudy
2015-04-04,3.55,5.2,11.5,rainy
2015-04-05,3.15,0.8,14.1,partly_cloudy
2015-04-06,2.35,2.7,15.8,cloudy
2015-04-07,2.6000000000000005,0.0,9.1,partly_cloudy
2015-04-08,6.1,0.0,12.2,partly_cloudy
2015-04-09,9.450000000000001,0.0,11.2,partly_cloudy
2015-04-10,11.35,0.0,7.7,partly_cloudy
2015-04-11,11.850000000000001,0.0,18.6,cloudy
2015-04-12,12.15,0.2,10.7,partly_cloudy
2015-04-13,12.049999999999999,0.2,24.5,cloudy
2015-04-14,12.5,0.0,21.5,cloudy
2015-04-15,14.399999999999999,0.0,12.0,partly_cloudy
2015-04-16,15.850000000000001,0.0,14.8,partly_cloudy
2015-04-17,12.100000000000001,17.9,17.3,rainy
2015-04-18,7.4,0.0,13.3,partly_cloudy
2015-04-19,7.4,0.0,15.5,cloudy
2015-04-20,8.85,0.0,10.6,partly_cloudy
2015-04-21,11.0,0.0,12.2,partly_cloudy
2015-04-22,11.850000000000001,0.4,18.3,cloudy
2015-04-23,7.35,0.4,10.7,partly_cloudy
2015-04-24,9.55,0.0,7.9,partly_cloudy
2015-04-25,12.350000000000001,1.0,12.2,cloudy
2015-04-26,15.2,2.3,10.8,cloudy
2015-04-27,15.5,0.3,12.9,partly_cloudy
2015-04-28,9.2,13.5,23.2,rainy
2015-04-29,8.9,0.0,15.5,cloudy
2015-04-30,10.6,1.9,13.5,cloudy
2015-05-01,8.85,23.9,9.1,rainy
2015-05-02,10.9,7.2,9.9,rainy
2015-05-03,11.850000000000001,17.2,11.3,rainy
2015-05-04,17.45,4.5,14.4,cloudy
2015-05-05,19.5,3.0,15.5,cloudy
2015-05-06,12.7,24.9,13.2,rainy
2015-05-07,12.95,0.4,10.5,partly_cloudy
2015-05-08,15.3,0.0,13.6,partly_cloudy
2015-05-09,15.299999999999999,6.2,18.7,rainy
2015-05-10,13.649999999999999,1.4,18.6,cloudy
2015-05-11,14.85,0.0,10.6,partly_cloudy
2015-05-12,18.35,0.0,15.8,cloudy
2015-05-13,18.25,4.9,15.5,cloudy
2015-05-14,15.5,11.2,15.3,rainy
2015-05-15,13.4,5.3,9.2,rainy
2015-05-16,14.7,0.0,16.3,cloudy
2015-05-17,14.1,0.5,12.1,partly_cloudy
2015-05-18,15.649999999999999,0.0,7.0,partly_cloudy
2015-05-19,14.049999999999999,19.8,14.9,rainy
2015-05-20,9.5,25.1,8.9,rainy
2015-05-21,9.85,9.3,10.2,rainy
2015-05-22,12.0,1.1,12.8,cloudy
2015-05-23,11.399999999999999,5.0,12.3,cloudy
2015-05-24,12.45,7.5,9.4,rainy
2015-05-25,13.35,0.3,13.6,partly_cloudy
2015-05-26,13.15,4.2,17.2,cloudy
2015-05-27,10.6,0.7,15.7,cloudy
2015-05-28,12.45,0.0,11.9,partly_cloudy
2015-05-29,15.799999999999999,0.4,9.4,partly_cloudy
2015-05-30,14.75,2.1,21.6,cloudy
2015-05-31,14.899999999999999,0.0,7.3,partly_cloudy
2015-06-01,18.8,2.3,10.0,cloudy
2015-06-02,18.85,0.0,9.7,partly_cloudy
2015-06-03,20.85,0.0,11.3,sunny
2015-06-04,19.95,0.0,10.2,partly_cloudy
2015-06-05,21.95,0.0,11.1,sunny
2015-06-06,22.05,2.2,12.0,cloudy
2015-06-07,22.05,10.7,14.6,rainy
2015-06-08,17.65,8.8,13.8,rainy
2015-06-09,13.2,0.3,14.5,partly_cloudy
2015-06-10,16.4,0.0,15.6,cloudy
